id,category,question,answer
1291,Payments,How long does it take to complete reschedule?,"If your payment is delayed, please contact support."
1292,Security,How do I get support for payment issues?,There is no additional charge for reschedule.
1293,Shipping,How can I check my account?,Please allow some time for your account to update.
1294,Shipping,Can I request cancel for my refund?,You can request cancel from the help center anytime.
1295,Orders,How do I get support for order issues?,You can request approve from the help center anytime.
1296,Subscription,Why is my tracking ID not updated?,"To cancel your tracking ID, go to your dashboard and follow the instructions."
1297,Refunds,How do I get support for support ticket issues?,Our support team is available 24/7 to help you with support ticket.
1298,Shipping,Why is my request not updated?,"To resubmit your request, go to your dashboard and follow the instructions."
1299,Technical Support,What is the process for approve?,The process for approve usually takes 2–3 business days.
1300,Orders,How long does it take to complete approve?,Your order details can be found in your account section.
1301,Orders,How long does it take to complete check?,Our support team is available 24/7 to help you with account.
1302,Refunds,How do I get support for order issues?,The process for update usually takes 2–3 business days.
1303,Product Info,Why is my product not updated?,Please allow some time for your product to update.
1304,Payments,What is the process for update?,You can request update from the help center anytime.
1305,Security,Can I request review for my subscription?,You will receive notifications regarding your subscription status.
1306,Delivery,How long does it take to complete reschedule?,You can request reschedule from the help center anytime.
1307,Cancellation,How do I get support for payment issues?,"To verify your payment, go to your dashboard and follow the instructions."
